time,joint1_torque,joint2_torque,joint3_torque,joint4_torque,joint5_torque,joint6_torque,joint7_torque
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-0.030486110507758218,-2.0372660084303393,-0.028230362557678176,3.8870671382446744,0.19305137922537124,0.16349433667483027,0.005453395919630566
0.002,-0.058008546565004857,-4.401471904812516,-0.05477577713675343,6.482910920991344,0.31561810552297676,0.40319795967479877,0.008244497828400199
0.003,-0.08017042403998194,-6.767390225610964,-0.07664551404576944,8.379896522948911,0.39687560077453093,0.6151935760331071,0.009337626869410087
0.004,-0.09668647225413715,-8.996558217941626,-0.09320105492263316,9.866243447349916,0.45448236599945235,0.7851856074498755,0.009439258821430485
0.005,-0.10805800322958216,-11.037239058109478,-0.10475931602915066,11.08815476243035,0.4982351991133616,0.9203261301363455,0.009010870207021071
0.006,-0.11503723370750955,-12.8777440873338,-0.11198096927505516,12.123788966907341,0.5333973239506711,1.029862142680031,0.008331171927693504
0.007,-0.11840600553238619,-14.524366232841945,-0.11560367443384331,13.017810005443607,0.5628002739822328,1.120865343415062,0.007558687238088169
0.008,-0.11888701991641146,-15.990881795240469,-0.11632947931849105,13.797870873670945,0.5880136124563435,1.1980887280615207,0.0067787965438128595
0.009000000000000001,-0.11711301604385381,-17.29357106724789,-0.11478205106336131,14.482635230540836,0.6099583113009204,1.2646337484638934,0.00603466698066768
0.01,-0.11362151474536178,-18.448898884949028,-0.11149551119897128,15.085760074110112,0.6292189040616077,1.3225614642205983,0.005346064868035683
0.011,-0.10886047122389157,-19.4724835964527,-0.10691716993237475,15.617918908873435,0.6462002886427587,1.3733049709758234,0.004720232490626586
0.012,-0.10319805382129697,-20.378688994562744,-0.10141585865824881,16.087860191481923,0.6612064489208312,1.4179187574268326,0.004157955877644781
0.013000000000000001,-0.09693341231375108,-21.180513871660427,-0.09529197869926564,16.502983874066558,0.6744804257422784,1.457222405563698,0.0036568589162015996
0.014,-0.09030703311301858,-21.88961955445306,-0.08878749781850528,16.869673223396603,0.6862251297054371,1.4918820840580338,0.003213150954707089
0.015,-0.08351011185585316,-22.51641717567145,-0.08209514462708192,17.193499665339914,0.6966146488611552,1.5224571059775371,0.0028225329870110727
0.016,-0.07669277135338592,-23.070176645471687,-0.07536653933131476,17.479359719236527,0.7058007876646467,1.5494273080498715,0.0024806544377042883
0.017,-0.06997113671566836,-23.559139195007344,-0.06871922784685028,17.73157399947104,0.713917163059951,1.573209965687056,0.002183333566563306
0.018000000000000002,-0.06343335826124818,-23.99062521549429,-0.06224268729379074,17.95396373611129,0.7210820059008021,1.594170947279963,0.0019266552574208617
0.019,-0.057144700477323104,-24.3711339627213,-0.05600340963234786,18.14991296012522,0.7274002403176778,1.6126326162698206,0.0017070061830963823
0.02,-0.051151818731626185,-24.706434049710456,-0.050049179220626114,18.32242079278967,0.7329651314071565,1.6288798161581326,0.0015210786727948289
0.021,-0.04548633806805284,-25.00164476091683,-0.044412655545845385,18.47414637836846,0.7378596524212632,1.6431646547794116,0.0013658595064498513
0.022,-0.04016783685892018,-25.261308715894067,-0.03911436227855161,18.60744800831708,0.7421576533734372,1.655710480153175,0.0012386119442453492
0.023,-0.03520632552298193,-25.489456602034007,-0.03416517199311092,18.724417455558978,0.7459248780585352,1.6667152705331318,0.0011368552488875139
0.024,-0.030604298413853565,-25.689664741550335,-0.029568364192926494,18.82691024329688,0.7492198585254365,1.6763545717835768,0.0010583438020148606
0.025,-0.026358425946127424,-25.86510623552682,-0.025321323455885426,18.916572400480618,0.7520947065219541,1.6847840674131476,0.0010010468672589923
0.026000000000000002,-0.022460944246777442,-26.018596376341335,-0.021416934853677353,18.99486414797684,0.7545958161536278,1.692141840109798,0.0009631294688006165
0.027,-0.01890079109272056,-26.152632958106363,-0.017844725337651024,19.06308088607966,0.7567644888858936,1.698550368533688,0.0009429345686839952
0.028,-0.01566452953039981,-26.269432051971197,-0.014591792456787218,19.12237180043303,0.7586374900341962,1.7041182937882695,0.0009389666222432425
0.029,-0.012737094249181718,-26.370959753361518,-0.011643555471116628,19.173756361544292,0.7602475445123074,1.7089419839230686,0.0009498764491127076
0.03,-0.010102390369179018,-26.458960353130372,-0.008984358525905237,19.218138959042335,0.7616237785786746,1.7131069204610867,0.0009744473866248882
0.031,-0.007743769687089843,-26.534981334696127,-0.006597950942287846,19.256321882887278,0.7627921135010838,1.716688927711857,0.0010115826448782173
0.032,-0.005644405490261103,-26.60039555441982,-0.004467865751170984,19.289016839098622,0.7637756163751686,1.7197552629036181,0.001060293773889498
0.033,-0.003787583704398214,-26.656420922473647,-0.002577714254591563,19.31685516583366,0.7645948127481547,1.722365583075316,0.0011196901705261553
0.034,-0.002156925298903491,-26.704137865802423,-0.0009114115582588012,19.340396896830498,0.7652679651869341,1.72457280270919,0.001188969536769946
0.035,-0.0007365524635224822,-26.744504823112887,0.0005466543909582854,19.360138802356232,0.7658113214808379,1.7264238545112676,0.0012674092263296188
0.036000000000000004,0.0004887909725913644,-26.778371993663427,0.0018114997720389183,19.376521523206975,0.7662393357687957,1.7279603642919028,0.001354358383878207
0.037,0.001533656136747663,-26.806493536660003,0.002897459099727887,19.389935900070668,0.7665648655271314,1.7292192496774987,0.001449230833486581
0.038,0.002411835442068612,-26.829538395870525,0.003818129377971935,19.4007285891048,0.7667993470363393,1.730233251249956,0.0015514986391735874
0.039,0.0031363326020842526,-26.848099904400026,0.004586338131676887,19.40920704425571,0.7669529516639042,1.7310314037504213,0.0016606862780008669
