time,px,py,pz,vx,vy,vz,ax,ay,az
0.055000,0.000040,0.000000,0.000000,0.002146,0.000000,0.000000,0.075819,0.000000,0.000000
0.056000,0.000042,0.000000,0.000000,0.002222,0.000000,0.000000,0.077076,0.000000,0.000000
0.057000,0.000044,0.000000,0.000000,0.002300,0.000000,0.000000,0.078329,0.000000,0.000000
0.058000,0.000047,0.000000,0.000000,0.002379,0.000000,0.000000,0.079577,0.000000,0.000000
0.059000,0.000049,0.000000,0.000000,0.002459,0.000000,0.000000,0.080822,0.000000,0.000000
0.060000,0.000052,0.000000,0.000000,0.002540,0.000000,0.000000,0.082062,0.000000,0.000000
0.061000,0.000054,0.000000,0.000000,0.002623,0.000000,0.000000,0.083298,0.000000,0.000000
0.062000,0.000057,0.000000,0.000000,0.002707,0.000000,0.000000,0.084530,0.000000,0.000000
0.063000,0.000060,0.000000,0.000000,0.002792,0.000000,0.000000,0.085757,0.000000,0.000000
0.064000,0.000062,0.000000,0.000000,0.002879,0.000000,0.000000,0.086981,0.000000,0.000000
0.065000,0.000065,0.000000,0.000000,0.002966,0.000000,0.000000,0.088200,0.000000,0.000000
0.066000,0.000068,0.000000,0.000000,0.003055,0.000000,0.000000,0.089415,0.000000,0.000000
0.067000,0.000071,0.000000,0.000000,0.003145,0.000000,0.000000,0.090625,0.000000,0.000000
0.068000,0.000075,0.000000,0.000000,0.003236,0.000000,0.000000,0.091832,0.000000,0.000000
0.069000,0.000078,0.000000,0.000000,0.003329,0.000000,0.000000,0.093034,0.000000,0.000000
0.070000,0.000081,0.000000,0.000000,0.003422,0.000000,0.000000,0.094232,0.000000,0.000000
0.071000,0.000085,0.000000,0.000000,0.003517,0.000000,0.000000,0.095426,0.000000,0.000000
0.072000,0.000088,0.000000,0.000000,0.003613,0.000000,0.000000,0.096616,0.000000,0.000000
0.073000,0.000092,0.000000,0.000000,0.003710,0.000000,0.000000,0.097802,0.000000,0.000000
0.074000,0.000096,0.000000,0.000000,0.003809,0.000000,0.000000,0.098983,0.000000,0.000000
0.075000,0.000100,0.000000,0.000000,0.003908,0.000000,0.000000,0.100160,0.000000,0.000000
0.076000,0.000104,0.000000,0.000000,0.004009,0.000000,0.000000,0.101333,0.000000,0.000000
0.077000,0.000108,0.000000,0.000000,0.004111,0.000000,0.000000,0.102502,0.000000,0.000000
0.078000,0.000112,0.000000,0.000000,0.004214,0.000000,0.000000,0.103667,0.000000,0.000000
0.079000,0.000116,0.000000,0.000000,0.004318,0.000000,0.000000,0.104828,0.000000,0.000000
0.080000,0.000120,0.000000,0.000000,0.004424,0.000000,0.000000,0.105984,0.000000,0.000000
0.081000,0.000125,0.000000,0.000000,0.004530,0.000000,0.000000,0.107136,0.000000,0.000000
0.082000,0.000130,0.000000,0.000000,0.004638,0.000000,0.000000,0.108285,0.000000,0.000000
0.083000,0.000134,0.000000,0.000000,0.004747,0.000000,0.000000,0.109429,0.000000,0.000000
0.084000,0.000139,0.000000,0.000000,0.004857,0.000000,0.000000,0.110569,0.000000,0.000000
0.085000,0.000144,0.000000,0.000000,0.004968,0.000000,0.000000,0.111704,0.000000,0.000000
0.086000,0.000149,0.000000,0.000000,0.005080,0.000000,0.000000,0.112836,0.000000,0.000000
0.087000,0.000154,0.000000,0.000000,0.005194,0.000000,0.000000,0.113964,0.000000,0.000000
0.088000,0.000159,0.000000,0.000000,0.005308,0.000000,0.000000,0.115087,0.000000,0.000000
0.089000,0.000165,0.000000,0.000000,0.005424,0.000000,0.000000,0.116206,0.000000,0.000000
0.090000,0.000170,0.000000,0.000000,0.005541,0.000000,0.000000,0.117322,0.000000,0.000000
0.091000,0.000176,0.000000,0.000000,0.005658,0.000000,0.000000,0.118433,0.000000,0.000000
0.092000,0.000181,0.000000,0.000000,0.005777,0.000000,0.000000,0.119540,0.000000,0.000000
0.093000,0.000187,0.000000,0.000000,0.005898,0.000000,0.000000,0.120643,0.000000,0.000000
0.094000,0.000193,0.000000,0.000000,0.006019,0.000000,0.000000,0.121742,0.000000,0.000000
0.095000,0.000199,0.000000,0.000000,0.006141,0.000000,0.000000,0.122837,0.000000,0.000000
0.096000,0.000206,0.000000,0.000000,0.006264,0.000000,0.000000,0.123928,0.000000,0.000000
0.097000,0.000212,0.000000,0.000000,0.006389,0.000000,0.000000,0.125014,0.000000,0.000000
0.098000,0.000218,0.000000,0.000000,0.006514,0.000000,0.000000,0.126097,0.000000,0.000000
0.099000,0.000225,0.000000,0.000000,0.006641,0.000000,0.000000,0.127175,0.000000,0.000000
0.100000,0.000232,0.000000,0.000000,0.006769,0.000000,0.000000,0.128250,0.000000,0.000000
0.101000,0.000238,0.000000,0.000000,0.006898,0.000000,0.000000,0.129320,0.000000,0.000000
0.102000,0.000245,0.000000,0.000000,0.007027,0.000000,0.000000,0.130387,0.000000,0.000000
0.103000,0.000253,0.000000,0.000000,0.007158,0.000000,0.000000,0.131449,0.000000,0.000000
0.104000,0.000260,0.000000,0.000000,0.007290,0.000000,0.000000,0.132508,0.000000,0.000000
0.105000,0.000267,0.000000,0.000000,0.007423,0.000000,0.000000,0.133562,0.000000,0.000000
0.106000,0.000275,0.000000,0.000000,0.007557,0.000000,0.000000,0.134612,0.000000,0.000000
0.107000,0.000282,0.000000,0.000000,0.007693,0.000000,0.000000,0.135659,0.000000,0.000000
0.108000,0.000290,0.000000,0.000000,0.007829,0.000000,0.000000,0.136701,0.000000,0.000000
0.109000,0.000298,0.000000,0.000000,0.007966,0.000000,0.000000,0.137739,0.000000,0.000000
0.110000,0.000306,0.000000,0.000000,0.008104,0.000000,0.000000,0.138773,0.000000,0.000000
0.111000,0.000314,0.000000,0.000000,0.008243,0.000000,0.000000,0.139803,0.000000,0.000000
0.112000,0.000322,0.000000,0.000000,0.008384,0.000000,0.000000,0.140830,0.000000,0.000000
0.113000,0.000331,0.000000,0.000000,0.008525,0.000000,0.000000,0.141852,0.000000,0.000000
0.114000,0.000339,0.000000,0.000000,0.008668,0.000000,0.000000,0.142870,0.000000,0.000000
0.115000,0.000348,0.000000,0.000000,0.008811,0.000000,0.000000,0.143884,0.000000,0.000000
0.116000,0.000357,0.000000,0.000000,0.008955,0.000000,0.000000,0.144895,0.000000,0.000000
0.117000,0.000366,0.000000,0.000000,0.009101,0.000000,0.000000,0.145901,0.000000,0.000000
0.118000,0.000375,0.000000,0.000000,0.009247,0.000000,0.000000,0.146903,0.000000,0.000000
0.119000,0.000385,0.000000,0.000000,0.009394,0.000000,0.000000,0.147902,0.000000,0.000000
0.120000,0.000394,0.000000,0.000000,0.009543,0.000000,0.000000,0.148896,0.000000,0.000000
0.121000,0.000404,0.000000,0.000000,0.009692,0.000000,0.000000,0.149886,0.000000,0.000000
0.122000,0.000413,0.000000,0.000000,0.009843,0.000000,0.000000,0.150873,0.000000,0.000000
0.123000,0.000423,0.000000,0.000000,0.009994,0.000000,0.000000,0.151855,0.000000,0.000000
0.124000,0.000433,0.000000,0.000000,0.010146,0.000000,0.000000,0.152834,0.000000,0.000000
0.125000,0.000444,0.000000,0.000000,0.010300,0.000000,0.000000,0.153809,0.000000,0.000000
0.126000,0.000454,0.000000,0.000000,0.010454,0.000000,0.000000,0.154779,0.000000,0.000000
0.127000,0.000465,0.000000,0.000000,0.010609,0.000000,0.000000,0.155746,0.000000,0.000000
0.128000,0.000475,0.000000,0.000000,0.010765,0.000000,0.000000,0.156709,0.000000,0.000000
0.129000,0.000486,0.000000,0.000000,0.010923,0.000000,0.000000,0.157668,0.000000,0.000000
0.130000,0.000497,0.000000,0.000000,0.011081,0.000000,0.000000,0.158623,0.000000,0.000000
0.131000,0.000508,0.000000,0.000000,0.011240,0.000000,0.000000,0.159574,0.000000,0.000000
0.132000,0.000520,0.000000,0.000000,0.011400,0.000000,0.000000,0.160521,0.000000,0.000000
0.133000,0.000531,0.000000,0.000000,0.011561,0.000000,0.000000,0.161464,0.000000,0.000000
0.134000,0.000543,0.000000,0.000000,0.011723,0.000000,0.000000,0.162404,0.000000,0.000000
0.135000,0.000554,0.000000,0.000000,0.011886,0.000000,0.000000,0.163339,0.000000,0.000000
0.136000,0.000566,0.000000,0.000000,0.012050,0.000000,0.000000,0.164271,0.000000,0.000000
0.137000,0.000579,0.000000,0.000000,0.012214,0.000000,0.000000,0.165198,0.000000,0.000000
0.138000,0.000591,0.000000,0.000000,0.012380,0.000000,0.000000,0.166122,0.000000,0.000000
0.139000,0.000603,0.000000,0.000000,0.012547,0.000000,0.000000,0.167042,0.000000,0.000000
0.140000,0.000616,0.000000,0.000000,0.012714,0.000000,0.000000,0.167958,0.000000,0.000000
0.141000,0.000629,0.000000,0.000000,0.012882,0.000000,0.000000,0.168870,0.000000,0.000000
0.142000,0.000642,0.000000,0.000000,0.013052,0.000000,0.000000,0.169778,0.000000,0.000000
0.143000,0.000655,0.000000,0.000000,0.013222,0.000000,0.000000,0.170683,0.000000,0.000000
0.144000,0.000668,0.000000,0.000000,0.013393,0.000000,0.000000,0.171583,0.000000,0.000000
0.145000,0.000682,0.000000,0.000000,0.013565,0.000000,0.000000,0.172480,0.000000,0.000000
0.146000,0.000695,0.000000,0.000000,0.013738,0.000000,0.000000,0.173373,0.000000,0.000000
0.147000,0.000709,0.000000,0.000000,0.013912,0.000000,0.000000,0.174262,0.000000,0.000000
0.148000,0.000723,0.000000,0.000000,0.014087,0.000000,0.000000,0.175147,0.000000,0.000000
0.149000,0.000737,0.000000,0.000000,0.014262,0.000000,0.000000,0.176029,0.000000,0.000000
0.150000,0.000752,0.000000,0.000000,0.014439,0.000000,0.000000,0.176906,0.000000,0.000000
0.151000,0.000766,0.000000,0.000000,0.014616,0.000000,0.000000,0.177780,0.000000,0.000000
0.152000,0.000781,0.000000,0.000000,0.014794,0.000000,0.000000,0.178650,0.000000,0.000000
0.153000,0.000796,0.000000,0.000000,0.014973,0.000000,0.000000,0.179516,0.000000,0.000000
0.154000,0.000811,0.000000,0.000000,0.015153,0.000000,0.000000,0.180378,0.000000,0.000000
0.155000,0.000826,0.000000,0.000000,0.015334,0.000000,0.000000,0.181237,0.000000,0.000000
0.156000,0.000842,0.000000,0.000000,0.015516,0.000000,0.000000,0.182091,0.000000,0.000000
0.157000,0.000857,0.000000,0.000000,0.015698,0.000000,0.000000,0.182942,0.000000,0.000000
0.158000,0.000873,0.000000,0.000000,0.015882,0.000000,0.000000,0.183789,0.000000,0.000000
0.159000,0.000889,0.000000,0.000000,0.016066,0.000000,0.000000,0.184633,0.000000,0.000000
0.160000,0.000905,0.000000,0.000000,0.016251,0.000000,0.000000,0.185472,0.000000,0.000000
0.161000,0.000921,0.000000,0.000000,0.016437,0.000000,0.000000,0.186308,0.000000,0.000000
0.162000,0.000938,0.000000,0.000000,0.016623,0.000000,0.000000,0.187140,0.000000,0.000000
0.163000,0.000955,0.000000,0.000000,0.016811,0.000000,0.000000,0.187968,0.000000,0.000000
0.164000,0.000972,0.000000,0.000000,0.016999,0.000000,0.000000,0.188792,0.000000,0.000000
0.165000,0.000989,0.000000,0.000000,0.017189,0.000000,0.000000,0.189613,0.000000,0.000000
0.166000,0.001006,0.000000,0.000000,0.017379,0.000000,0.000000,0.190430,0.000000,0.000000
0.167000,0.001023,0.000000,0.000000,0.017569,0.000000,0.000000,0.191243,0.000000,0.000000
0.168000,0.001041,0.000000,0.000000,0.017761,0.000000,0.000000,0.192052,0.000000,0.000000
0.169000,0.001059,0.000000,0.000000,0.017954,0.000000,0.000000,0.192858,0.000000,0.000000
0.170000,0.001077,0.000000,0.000000,0.018147,0.000000,0.000000,0.193660,0.000000,0.000000
0.171000,0.001095,0.000000,0.000000,0.018341,0.000000,0.000000,0.194458,0.000000,0.000000
0.172000,0.001114,0.000000,0.000000,0.018536,0.000000,0.000000,0.195252,0.000000,0.000000
0.173000,0.001132,0.000000,0.000000,0.018731,0.000000,0.000000,0.196043,0.000000,0.000000
0.174000,0.001151,0.000000,0.000000,0.018928,0.000000,0.000000,0.196830,0.000000,0.000000
0.175000,0.001170,0.000000,0.000000,0.019125,0.000000,0.000000,0.197613,0.000000,0.000000
0.176000,0.001189,0.000000,0.000000,0.019323,0.000000,0.000000,0.198393,0.000000,0.000000
0.177000,0.001209,0.000000,0.000000,0.019522,0.000000,0.000000,0.199169,0.000000,0.000000
0.178000,0.001228,0.000000,0.000000,0.019721,0.000000,0.000000,0.199941,0.000000,0.000000
0.179000,0.001248,0.000000,0.000000,0.019922,0.000000,0.000000,0.200709,0.000000,0.000000
0.180000,0.001268,0.000000,0.000000,0.020123,0.000000,0.000000,0.201474,0.000000,0.000000
0.181000,0.001288,0.000000,0.000000,0.020325,0.000000,0.000000,0.202235,0.000000,0.000000
0.182000,0.001309,0.000000,0.000000,0.020527,0.000000,0.000000,0.202992,0.000000,0.000000
0.183000,0.001330,0.000000,0.000000,0.020731,0.000000,0.000000,0.203746,0.000000,0.000000
0.184000,0.001350,0.000000,0.000000,0.020935,0.000000,0.000000,0.204496,0.000000,0.000000
0.185000,0.001371,0.000000,0.000000,0.021140,0.000000,0.000000,0.205242,0.000000,0.000000
0.186000,0.001393,0.000000,0.000000,0.021345,0.000000,0.000000,0.205985,0.000000,0.000000
0.187000,0.001414,0.000000,0.000000,0.021552,0.000000,0.000000,0.206724,0.000000,0.000000
0.188000,0.001436,0.000000,0.000000,0.021759,0.000000,0.000000,0.207460,0.000000,0.000000
0.189000,0.001458,0.000000,0.000000,0.021967,0.000000,0.000000,0.208191,0.000000,0.000000
0.190000,0.001480,0.000000,0.000000,0.022175,0.000000,0.000000,0.208919,0.000000,0.000000
0.191000,0.001502,0.000000,0.000000,0.022384,0.000000,0.000000,0.209644,0.000000,0.000000
0.192000,0.001524,0.000000,0.000000,0.022594,0.000000,0.000000,0.210364,0.000000,0.000000
0.193000,0.001547,0.000000,0.000000,0.022805,0.000000,0.000000,0.211082,0.000000,0.000000
0.194000,0.001570,0.000000,0.000000,0.023017,0.000000,0.000000,0.211795,0.000000,0.000000
0.195000,0.001593,0.000000,0.000000,0.023229,0.000000,0.000000,0.212505,0.000000,0.000000
0.196000,0.001617,0.000000,0.000000,0.023442,0.000000,0.000000,0.213211,0.000000,0.000000
0.197000,0.001640,0.000000,0.000000,0.023655,0.000000,0.000000,0.213914,0.000000,0.000000
0.198000,0.001664,0.000000,0.000000,0.023869,0.000000,0.000000,0.214613,0.000000,0.000000
0.199000,0.001688,0.000000,0.000000,0.024084,0.000000,0.000000,0.215308,0.000000,0.000000
0.200000,0.001712,0.000000,0.000000,0.024300,0.000000,0.000000,0.216000,0.000000,0.000000
0.201000,0.001736,0.000000,0.000000,0.024516,0.000000,0.000000,0.216688,0.000000,0.000000
0.202000,0.001761,0.000000,0.000000,0.024733,0.000000,0.000000,0.217373,0.000000,0.000000
0.203000,0.001786,0.000000,0.000000,0.024951,0.000000,0.000000,0.218054,0.000000,0.000000
0.204000,0.001811,0.000000,0.000000,0.025169,0.000000,0.000000,0.218731,0.000000,0.000000
0.205000,0.001836,0.000000,0.000000,0.025389,0.000000,0.000000,0.219405,0.000000,0.000000
0.206000,0.001862,0.000000,0.000000,0.025608,0.000000,0.000000,0.220075,0.000000,0.000000
0.207000,0.001887,0.000000,0.000000,0.025829,0.000000,0.000000,0.220742,0.000000,0.000000
0.208000,0.001913,0.000000,0.000000,0.026050,0.000000,0.000000,0.221405,0.000000,0.000000
0.209000,0.001940,0.000000,0.000000,0.026272,0.000000,0.000000,0.222065,0.000000,0.000000
0.210000,0.001966,0.000000,0.000000,0.026494,0.000000,0.000000,0.222721,0.000000,0.000000
0.211000,0.001993,0.000000,0.000000,0.026717,0.000000,0.000000,0.223373,0.000000,0.000000
0.212000,0.002019,0.000000,0.000000,0.026941,0.000000,0.000000,0.224022,0.000000,0.000000
0.213000,0.002046,0.000000,0.000000,0.027165,0.000000,0.000000,0.224667,0.000000,0.000000
0.214000,0.002074,0.000000,0.000000,0.027390,0.000000,0.000000,0.225309,0.000000,0.000000
0.215000,0.002101,0.000000,0.000000,0.027616,0.000000,0.000000,0.225948,0.000000,0.000000
0.216000,0.002129,0.000000,0.000000,0.027842,0.000000,0.000000,0.226582,0.000000,0.000000
0.217000,0.002157,0.000000,0.000000,0.028069,0.000000,0.000000,0.227213,0.000000,0.000000
0.218000,0.002185,0.000000,0.000000,0.028296,0.000000,0.000000,0.227841,0.000000,0.000000
0.219000,0.002213,0.000000,0.000000,0.028524,0.000000,0.000000,0.228465,0.000000,0.000000
0.220000,0.002242,0.000000,0.000000,0.028753,0.000000,0.000000,0.229086,0.000000,0.000000
0.221000,0.002271,0.000000,0.000000,0.028983,0.000000,0.000000,0.229703,0.000000,0.000000
0.222000,0.002300,0.000000,0.000000,0.029213,0.000000,0.000000,0.230317,0.000000,0.000000
0.223000,0.002329,0.000000,0.000000,0.029443,0.000000,0.000000,0.230927,0.000000,0.000000
0.224000,0.002359,0.000000,0.000000,0.029674,0.000000,0.000000,0.231534,0.000000,0.000000
0.225000,0.002389,0.000000,0.000000,0.029906,0.000000,0.000000,0.232137,0.000000,0.000000
0.226000,0.002419,0.000000,0.000000,0.030139,0.000000,0.000000,0.232736,0.000000,0.000000
0.227000,0.002449,0.000000,0.000000,0.030372,0.000000,0.000000,0.233333,0.000000,0.000000
0.228000,0.002480,0.000000,0.000000,0.030605,0.000000,0.000000,0.233925,0.000000,0.000000
0.229000,0.002510,0.000000,0.000000,0.030840,0.000000,0.000000,0.234514,0.000000,0.000000
0.230000,0.002541,0.000000,0.000000,0.031074,0.000000,0.000000,0.235100,0.000000,0.000000
0.231000,0.002572,0.000000,0.000000,0.031310,0.000000,0.000000,0.235683,0.000000,0.000000
0.232000,0.002604,0.000000,0.000000,0.031546,0.000000,0.000000,0.236261,0.000000,0.000000
0.233000,0.002635,0.000000,0.000000,0.031782,0.000000,0.000000,0.236837,0.000000,0.000000
0.234000,0.002667,0.000000,0.000000,0.032019,0.000000,0.000000,0.237409,0.000000,0.000000
0.235000,0.002700,0.000000,0.000000,0.032257,0.000000,0.000000,0.237977,0.000000,0.000000
0.236000,0.002732,0.000000,0.000000,0.032495,0.000000,0.000000,0.238542,0.000000,0.000000
0.237000,0.002764,0.000000,0.000000,0.032734,0.000000,0.000000,0.239104,0.000000,0.000000
0.238000,0.002797,0.000000,0.000000,0.032974,0.000000,0.000000,0.239662,0.000000,0.000000
0.239000,0.002830,0.000000,0.000000,0.033214,0.000000,0.000000,0.240217,0.000000,0.000000
0.240000,0.002864,0.000000,0.000000,0.033454,0.000000,0.000000,0.240768,0.000000,0.000000
0.241000,0.002897,0.000000,0.000000,0.033695,0.000000,0.000000,0.241316,0.000000,0.000000
0.242000,0.002931,0.000000,0.000000,0.033937,0.000000,0.000000,0.241860,0.000000,0.000000
0.243000,0.002965,0.000000,0.000000,0.034179,0.000000,0.000000,0.242401,0.000000,0.000000
0.244000,0.003000,0.000000,0.000000,0.034422,0.000000,0.000000,0.242939,0.000000,0.000000
0.245000,0.003034,0.000000,0.000000,0.034665,0.000000,0.000000,0.243473,0.000000,0.000000
0.246000,0.003069,0.000000,0.000000,0.034908,0.000000,0.000000,0.244004,0.000000,0.000000
0.247000,0.003104,0.000000,0.000000,0.035153,0.000000,0.000000,0.244532,0.000000,0.000000
